id,name,parent,role,version,loc
k9.Account,Account,k9,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,1342
k9.AccountStats,AccountStats,k9,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,12
k9.BaseAccount,BaseAccount,k9,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,9
k9.EmailAddressAdapter,EmailAddressAdapter,k9,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,61
k9.EmailAddressValidator,EmailAddressValidator,k9,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,18
k9.EmailReceivedIntent,EmailReceivedIntent,k9,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,13
k9.FontSizes,FontSizes,k9,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,336
k9.Identity,Identity,k9,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,65
k9.K9,K9,k9,Coordinator,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,831
k9.NotificationSetting,NotificationSetting,k9,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,140
k9.Preferences,Preferences,k9,Structurer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,174
k9.SearchAccount,SearchAccount,k9,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,116
k9.SearchSpecification,SearchSpecification,k9,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,11
k9.activity.AccessibleEmailContentActivity,AccessibleEmailContentActivity,k9.activity,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,79
k9.activity.Accounts,Accounts,k9.activity,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,763
k9.activity.ActivityListener,ActivityListener,k9.activity,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,168
k9.activity.ChooseAccount,ChooseAccount,k9.activity,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,111
k9.activity.ChooseFolder,ChooseFolder,k9.activity,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,312
k9.activity.ChooseIdentity,ChooseIdentity,k9.activity,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,83
k9.activity.ColorPickerDialog,ColorPickerDialog,k9.activity,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,166
k9.activity.EditIdentity,EditIdentity,k9.activity,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,139
k9.activity.FolderInfoHolder,FolderInfoHolder,k9.activity,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,131
k9.activity.FolderList,FolderList,k9.activity,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,619
k9.activity.FolderListFilter,FolderListFilter,k9.activity,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,122
k9.activity.InsertableHtmlContent,InsertableHtmlContent,k9.activity,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,151
k9.activity.K9Activity,K9Activity,k9.activity,Coordinator,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,109
k9.activity.K9ExpandableListActivity,K9ExpandableListActivity,k9.activity,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,16
k9.activity.K9ListActivity,K9ListActivity,k9.activity,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,99
k9.activity.K9PreferenceActivity,K9PreferenceActivity,k9.activity,Coordinator,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,61
k9.activity.LauncherShortcuts,LauncherShortcuts,k9.activity,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,61
k9.activity.ManageIdentities,ManageIdentities,k9.activity,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,141
k9.activity.MessageCompose,MessageCompose,k9.activity,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,2493
k9.activity.MessageInfoHolder,MessageInfoHolder,k9.activity,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,54
k9.activity.MessageList,MessageList,k9.activity,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,1875
k9.activity.MessageReference,MessageReference,k9.activity,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,44
k9.activity.MessageView,MessageView,k9.activity,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,1412
k9.activity.ProgressListener,ProgressListener,k9.activity,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,32
k9.activity.Search,Search,k9.activity,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,5
k9.activity.SearchModifier,SearchModifier,k9.activity,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,19
k9.activity.setup.AccountSettings,AccountSettings,k9.activity.setup,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,851
k9.activity.setup.AccountSetupAccountType,AccountSetupAccountType,k9.activity.setup,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,113
k9.activity.setup.AccountSetupBasics,AccountSetupBasics,k9.activity.setup,Structurer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,412
k9.activity.setup.AccountSetupCheckSettings,AccountSetupCheckSettings,k9.activity.setup,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,333
k9.activity.setup.AccountSetupComposition,AccountSetupComposition,k9.activity.setup,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,135
k9.activity.setup.AccountSetupIncoming,AccountSetupIncoming,k9.activity.setup,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,485
k9.activity.setup.AccountSetupNames,AccountSetupNames,k9.activity.setup,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,95
k9.activity.setup.AccountSetupOptions,AccountSetupOptions,k9.activity.setup,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,151
k9.activity.setup.AccountSetupOutgoing,AccountSetupOutgoing,k9.activity.setup,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,343
k9.activity.setup.FolderSettings,FolderSettings,k9.activity.setup,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,169
k9.activity.setup.FontSizeSettings,FontSizeSettings,k9.activity.setup,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,156
k9.activity.setup.Prefs,Prefs,k9.activity.setup,Interfacer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,326
k9.activity.setup.SpinnerHelper,SpinnerHelper,k9.activity.setup,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,61
k9.activity.setup.SpinnerOption,SpinnerOption,k9.activity.setup,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,32
k9.controller.MessageDateComparator,MessageDateComparator,k9.controller,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,26
k9.controller.MessageRemovalListener,MessageRemovalListener,k9.controller,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,6
k9.controller.MessageRetrievalListener,MessageRetrievalListener,k9.controller,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,13
k9.controller.MessagingController,MessagingController,k9.controller,Controller,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,4613
k9.controller.MessagingControllerPushReceiver,MessagingControllerPushReceiver,k9.controller,Coordinator,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,124
k9.controller.MessagingListener,MessagingListener,k9.controller,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,184
k9.crypto.Apg,Apg,k9.crypto,Structurer,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,510
k9.crypto.CryptoProvider,CryptoProvider,k9.crypto,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,35
k9.crypto.None,None,k9.crypto,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,78
k9.crypto.PgpData,PgpData,k9.crypto,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,77
k9.helper.AutoSyncHelper,AutoSyncHelper,k9.helper,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,124
k9.helper.AutoSyncSdk3,AutoSyncSdk3,k9.helper,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,44
k9.helper.AutoSyncSdk4,AutoSyncSdk4,k9.helper,Information Holder,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,44
k9.helper.AutoSyncSdk5,AutoSyncSdk5,k9.helper,Service Provider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,18
